Course,Level,Type,Duration,Location
Computing (Common Entry) Higher Certificate in Science,6,Undergraduate - CAO,2 Years,Sligo
Quantity Surveying Bachelor of Science,7,Undergraduate - CAO,3 Years,Sligo
Advanced Wood and Sustainable Building Technology Bachelor of Science,7,Undergraduate - CAO,3 Years,Sligo
Civil Engineering Bachelor of Engineering,7,Undergraduate - CAO,3 Years,Sligo
Computing (Common Entry) Bachelor of Science,7,Undergraduate - CAO,3 Years,Sligo
Engineering (Common Entry) Bachelor of Engineering,7,Undergraduate - CAO,3 Years,Sligo
Games Development Bachelor of Science,7,Undergraduate - CAO,3 Years,Sligo
Interior Architecture and Design Bachelor of Arts,7,Undergraduate - CAO,3 Years,Sligo
Mechanical Engineering Bachelor of Engineering,7,Undergraduate - CAO,3 Years,Sligo
Mechatronic Engineering Bachelor of Engineering,7,Undergraduate - CAO,3 Years,Sligo
Mechatronic Systems Bachelor of Engineering,7,Undergraduate,3 years,Sligo
Precision Engineering and Design Bachelor of Engineering,7,Undergraduate,3 Years,Sligo
Quantity Surveying Bachelor of Science (Honours),8,Add on,1 year,Sligo
Quantity Surveying Bachelor of Science (Honours),8,Undergraduate - CAO,4 Years,Sligo
Robotics and Automation Bachelor of Engineering (Honours),8,Undergraduate,4 Years,Sligo
Software Development Bachelor of Science (Honours),8,Add on,1 year,Sligo
Software Development Bachelor of Science (Honours),8,Undergraduate - CAO,4 Years,Sligo
Architecture Bachelor of Architecture (Honours),8,Undergraduate - CAO,5 Years,Sligo
Civil Engineering Bachelor of Engineering (Honours),8,Add on,2 Years,Sligo
Civil Engineering Bachelor of Engineering (Honours),8,Undergraduate - CAO,4 Years,Sligo
Computer Networks and Cyber Security Bachelor of Science (Honours),8,Undergraduate - CAO,4 Years,Sligo
Computing (Common Entry) Bachelor of Science (Honours),8,Undergraduate - CAO,4 Years,Sligo
Construction Project Management Bachelor of Science (Honours),8,Add on,1 Year,Sligo
Construction Project Management and Applied Technology Bachelor of Science (Honours),8,Undergraduate - CAO,4 Years,Sligo
Electronic and Computer Engineering Bachelor of Engineering (Honours),8,Add on,1 Year,Sligo
Engineering (Common Entry) Bachelor of Engineering (Honours),8,Undergraduate - CAO,4 Years,Sligo
Interior Architecture and Design Bachelor of Arts (Honours),8,Undergraduate - CAO,4 Years,Sligo
Interior Architecture and Design Bachelor of Arts (Honours),8,Add on,1 year,Sligo
Mechanical Engineering Bachelor of Engineering (Honours),8,Undergraduate - CAO,4 Years,Sligo
Mechatronic Engineering Bachelor of Engineering (Honours),8,Add on,1 Year,Sligo
